Category,Motivation,Label,Len,Text
peace,"""for the courageous efforts in founding a movement to put an end to the violent conflict in Northern Ireland""",2,109,courageous efforts founding movement put end violent conflict Northern Ireland
literature,"""for the human understanding and subtle analysis of contemporary culture that are combined in his work""",3,103,human understanding subtle analysis contemporary culture combined work
physics,"""for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems""",0,113,fundamental theoretical investigations electronic structure magnetic disordered systems
economics,"""for their pathbreaking contribution to the theory of international trade and international capital movements""",5,110,pathbreaking contribution theory international trade international capital movements
economics,"""for their pathbreaking contribution to the theory of international trade and international capital movements""",5,110,pathbreaking contribution theory international trade international capital movements
physics,"""for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems""",0,113,fundamental theoretical investigations electronic structure magnetic disordered systems
physics,"""for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems""",0,113,fundamental theoretical investigations electronic structure magnetic disordered systems
medicine,"""for their discoveries concerning the peptide hormone production of the brain""",1,78,discoveries concerning peptide hormone production brain
medicine,"""for the development of radioimmunoassays of peptide hormones""",1,62,development radioimmunoassays peptide hormones
chemistry,"""for his contributions to non-equilibrium thermodynamics particularly the theory of dissipative structures""",4,107,contributions nonequilibrium thermodynamics particularly theory dissipative structures
medicine,"""for their discoveries concerning the peptide hormone production of the brain""",1,78,discoveries concerning peptide hormone production brain
peace,"""for worldwide respect for human rights""",2,40,worldwide respect human rights
literature,"""for a creative poetic writing which illuminates man's condition in the cosmos and in present-day society at the same time representing the great renewal of the traditions of Spanish poetry between the wars""",3,207,creative poetic writing illuminates mans condition cosmos presentday society time representing great renewal traditions Spanish poetry wars
peace,"""for jointly having negotiated peace between Egypt and Israel in 1978""",2,70,jointly negotiated peace Egypt Israel 1978
peace,"""for jointly having negotiated peace between Egypt and Israel in 1978""",2,70,jointly negotiated peace Egypt Israel 1978
physics,"""for their discovery of cosmic microwave background radiation""",0,62,discovery cosmic microwave background radiation
medicine,"""for the discovery of restriction enzymes and their application to problems of molecular genetics""",1,98,discovery restriction enzymes application problems molecular genetics
medicine,"""for the discovery of restriction enzymes and their application to problems of molecular genetics""",1,98,discovery restriction enzymes application problems molecular genetics
medicine,"""for the discovery of restriction enzymes and their application to problems of molecular genetics""",1,98,discovery restriction enzymes application problems molecular genetics
physics,"""for their discovery of cosmic microwave background radiation""",0,62,discovery cosmic microwave background radiation
literature,"""for his impassioned narrative art which with roots in a Polish-Jewish cultural tradition brings universal human conditions to life""",3,132,impassioned narrative art roots PolishJewish cultural tradition brings universal human conditions life
economics,"""for his pioneering research into the decision-making process within economic organizations""",5,92,pioneering research decisionmaking process within economic organizations
physics,"""for his basic inventions and discoveries in the area of low-temperature physics""",0,81,basic inventions discoveries area lowtemperature physics
chemistry,"""for his contribution to the understanding of biological energy transfer through the formulation of the chemiosmotic theory""",4,124,contribution understanding biological energy transfer formulation chemiosmotic theory
chemistry,"""for their development of the use of boron- and phosphorus-containing compounds respectively into important reagents in organic synthesis""",4,138,development use boron phosphoruscontaining compounds respectively important reagents organic synthesis
economics,"""for their pioneering research into economic development research with particular consideration of the problems of developing countries""",5,136,pioneering research economic development research particular consideration problems developing countries
economics,"""for their pioneering research into economic development research with particular consideration of the problems of developing countries""",5,136,pioneering research economic development research particular consideration problems developing countries
peace,"""for her work for bringing help to suffering humanity""",2,54,work bringing help suffering humanity
chemistry,"""for their development of the use of boron- and phosphorus-containing compounds respectively into important reagents in organic synthesis""",4,138,development use boron phosphoruscontaining compounds respectively important reagents organic synthesis
physics,"""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles including inter alia the prediction of the weak neutral current""",0,184,contributions theory unified weak electromagnetic interaction elementary particles including inter alia prediction weak neutral current
physics,"""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles including inter alia the prediction of the weak neutral current""",0,184,contributions theory unified weak electromagnetic interaction elementary particles including inter alia prediction weak neutral current
medicine,"""for the development of computer assisted tomography""",1,53,development computer assisted tomography
medicine,"""for the development of computer assisted tomography""",1,53,development computer assisted tomography
literature,"""for his poetry which against the background of Greek tradition depicts with sensuous strength and intellectual clear-sightedness modern man's struggle for freedom and creativeness""",3,181,poetry background Greek tradition depicts sensuous strength intellectual clearsightedness modern mans struggle freedom creativeness
physics,"""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles including inter alia the prediction of the weak neutral current""",0,184,contributions theory unified weak electromagnetic interaction elementary particles including inter alia prediction weak neutral current
chemistry,"""for his work on the structure of proteins especially that of insulin""",4,70,work structure proteins especially insulin
chemistry,"""for their contributions concerning the determination of base sequences in nucleic acids""",4,89,contributions concerning determination base sequences nucleic acids
medicine,"""for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions""",1,126,discoveries concerning genetically determined structures cell surface regulate immunological reactions
medicine,"""for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions""",1,126,discoveries concerning genetically determined structures cell surface regulate immunological reactions
economics,"""for the creation of econometric models and the application to the analysis of economic fluctuations and economic policies""",5,123,creation econometric models application analysis economic fluctuations economic policies
chemistry,"""for his fundamental studies of the biochemistry of nucleic acids with particular regard to recombinant-DNA""",4,108,fundamental studies biochemistry nucleic acids particular regard recombinantDNA
peace,"""for being a source of inspiration to repressed people especially in Latin America""",2,83,source inspiration repressed people especially Latin America
chemistry,"""for their contributions concerning the determination of base sequences in nucleic acids""",4,89,contributions concerning determination base sequences nucleic acids
physics,"""for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons""",0,101,discovery violations fundamental symmetry principles decay neutral Kmesons
physics,"""for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons""",0,101,discovery violations fundamental symmetry principles decay neutral Kmesons
literature,"""who with uncompromising clear-sightedness voices man's exposed condition in a world of severe conflicts""",3,105,uncompromising clearsightedness voices mans exposed condition world severe conflicts
medicine,"""for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions""",1,126,discoveries concerning genetically determined structures cell surface regulate immunological reactions
economics,"""for his analysis of financial markets and their relations to expenditure decisions employment production and prices""",5,117,analysis financial markets relations expenditure decisions employment production prices
literature,"""for writings marked by a broad outlook a wealth of ideas and artistic power""",3,77,writings marked broad outlook wealth ideas artistic power
medicine,"""for their discoveries concerning information processing in the visual system""",1,78,discoveries concerning information processing visual system
physics,"""for their contribution to the development of laser spectroscopy""",0,65,contribution development laser spectroscopy
peace,"""for its efforts to heal the wounds of war by providing help and protection to refugees all over the world""",2,107,efforts heal wounds war providing help protection refugees world
peace,"""for promoting the fundamental rights of refugees""",2,50,promoting fundamental rights refugees
medicine,"""for his discoveries concerning the functional specialization of the cerebral hemispheres""",1,90,discoveries concerning functional specialization cerebral hemispheres
chemistry,"""for their theories developed independently concerning the course of chemical reactions""",4,88,theories developed independently concerning course chemical reactions
chemistry,"""for their theories developed independently concerning the course of chemical reactions""",4,88,theories developed independently concerning course chemical reactions
medicine,"""for their discoveries concerning information processing in the visual system""",1,78,discoveries concerning information processing visual system
physics,"""for their contribution to the development of laser spectroscopy""",0,65,contribution development laser spectroscopy
physics,"""for his contribution to the development of high-resolution electron spectroscopy""",0,82,contribution development highresolution electron spectroscopy
economics,"""for his seminal studies of industrial structures functioning of markets and causes and effects of public regulation""",5,117,seminal studies industrial structures functioning markets causes effects public regulation
peace,"""for their work for disarmament and nuclear and weapon-free zones""",2,66,work disarmament nuclear weaponfree zones
literature,"""for his novels and short stories in which the fantastic and the realistic are combined in a richly composed world of imagination reflecting a continent's life and conflicts""",3,174,novels short stories fantastic realistic combined richly composed world imagination reflecting continents life conflicts
medicine,"""for their discoveries concerning prostaglandins and related biologically active substances""",1,92,discoveries concerning prostaglandins related biologically active substances
chemistry,"""for his development of crystallographic electron microscopy and his structural elucidation of biologically important nucleic acid-protein complexes""",4,149,development crystallographic electron microscopy structural elucidation biologically important nucleic acidprotein complexes
medicine,"""for their discoveries concerning prostaglandins and related biologically active substances""",1,92,discoveries concerning prostaglandins related biologically active substances
physics,"""for his theory for critical phenomena in connection with phase transitions""",0,76,theory critical phenomena connection phase transitions
peace,"""for their work for disarmament and nuclear and weapon-free zones""",2,66,work disarmament nuclear weaponfree zones
medicine,"""for their discoveries concerning prostaglandins and related biologically active substances""",1,92,discoveries concerning prostaglandins related biologically active substances
peace,"""for non-violent struggle for free trade unions and human rights in Poland""",2,75,nonviolent struggle free trade unions human rights Poland
chemistry,"""for his work on the mechanisms of electron transfer reactions especially in metal complexes""",4,93,work mechanisms electron transfer reactions especially metal complexes
medicine,"""for her discovery of mobile genetic elements""",1,46,discovery mobile genetic elements
economics,"""for having incorporated new analytical methods into economic theory and for his rigorous reformulation of the theory of general equilibrium""",5,141,incorporated new analytical methods economic theory rigorous reformulation theory general equilibrium
literature,"""for his novels which with the perspicuity of realistic narrative art and the diversity and universality of myth illuminate the human condition in the world of today""",3,166,novels perspicuity realistic narrative art diversity universality myth illuminate human condition world today
physics,"""for his theoretical and experimental studies of the nuclear reactions of importance in the formation of the chemical elements in the universe""",0,143,theoretical experimental studies nuclear reactions importance formation chemical elements universe
physics,"""for his theoretical studies of the physical processes of importance to the structure and evolution of the stars""",0,113,theoretical studies physical processes importance structure evolution stars
medicine,"""for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies""",1,164,theories concerning specificity development control immune system discovery principle production monoclonal antibodies
medicine,"""for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies""",1,164,theories concerning specificity development control immune system discovery principle production monoclonal antibodies
medicine,"""for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies""",1,164,theories concerning specificity development control immune system discovery principle production monoclonal antibodies
literature,"""for his poetry which endowed with freshness sensuality and rich inventiveness provides a liberating image of the indomitable spirit and versatility of man""",3,156,poetry endowed freshness sensuality rich inventiveness provides liberating image indomitable spirit versatility man
peace,"""for his role as a unifying leader figure in the non-violent campaign to resolve the problem of apartheid in South Africa""",2,122,role unifying leader figure nonviolent campaign resolve problem apartheid South Africa
chemistry,"""for his development of methodology for chemical synthesis on a solid matrix""",4,77,development methodology chemical synthesis solid matrix
physics,"""for their decisive contributions to the large project which led to the discovery of the field particles W and Z communicators of weak interaction""",0,147,decisive contributions large project led discovery field particles W Z communicators weak interaction
physics,"""for their decisive contributions to the large project which led to the discovery of the field particles W and Z communicators of weak interaction""",0,147,decisive contributions large project led discovery field particles W Z communicators weak interaction
economics,"""for having made fundamental contributions to the development of systems of national accounts and hence greatly improved the basis for empirical economic analysis""",5,163,made fundamental contributions development systems national accounts hence greatly improved basis empirical economic analysis
peace,"""for spreading authoritative information and by creating awareness of the catastrophic consequences of nuclear war""",2,115,spreading authoritative information creating awareness catastrophic consequences nuclear war
physics,"""for the discovery of the quantized Hall effect""",0,48,discovery quantized Hall effect
medicine,"""for their discoveries concerning the regulation of cholesterol metabolism""",1,75,discoveries concerning regulation cholesterol metabolism
medicine,"""for their discoveries concerning the regulation of cholesterol metabolism""",1,75,discoveries concerning regulation cholesterol metabolism
chemistry,"""for their outstanding achievements in the development of direct methods for the determination of crystal structures""",4,117,outstanding achievements development direct methods determination crystal structures
chemistry,"""for their outstanding achievements in the development of direct methods for the determination of crystal structures""",4,117,outstanding achievements development direct methods determination crystal structures
literature,"""who in his novel combines the poet's and the painter's creativeness with a deepened awareness of time in the depiction of the human condition""",3,143,novel combines poets painters creativeness deepened awareness time depiction human condition
economics,"""for his pioneering analyses of saving and of financial markets""",5,64,pioneering analyses saving financial markets
chemistry,"""for their contributions concerning the dynamics of chemical elementary processes""",4,82,contributions concerning dynamics chemical elementary processes
chemistry,"""for their contributions concerning the dynamics of chemical elementary processes""",4,82,contributions concerning dynamics chemical elementary processes
physics,"""for their design of the scanning tunneling microscope""",0,55,design scanning tunneling microscope
physics,"""for their design of the scanning tunneling microscope""",0,55,design scanning tunneling microscope
physics,"""for his fundamental work in electron optics and for the design of the first electron microscope""",0,97,fundamental work electron optics design first electron microscope
chemistry,"""for their contributions concerning the dynamics of chemical elementary processes""",4,82,contributions concerning dynamics chemical elementary processes
medicine,"""for their discoveries of growth factors""",1,41,discoveries growth factors
medicine,"""for their discoveries of growth factors""",1,41,discoveries growth factors
peace,"""for being a messenger to mankind: his message is one of peace atonement and dignity""",2,85,messenger mankind message one peace atonement dignity
literature,"""who in a wide cultural perspective and with poetic overtones fashions the drama of existence""",3,94,wide cultural perspective poetic overtones fashions drama existence
economics,"""for his development of the contractual and constitutional bases for the theory of economic and political decision-making""",5,122,development contractual constitutional bases theory economic political decisionmaking
chemistry,"""for their development and use of molecules with structure-specific interactions of high selectivity""",4,101,development use molecules structurespecific interactions high selectivity
literature,"""for an all-embracing authorship imbued with clarity of thought and poetic intensity""",3,85,allembracing authorship imbued clarity thought poetic intensity
physics,"""for their important break-through in the discovery of superconductivity in ceramic materials""",0,94,important breakthrough discovery superconductivity ceramic materials
chemistry,"""for their development and use of molecules with structure-specific interactions of high selectivity""",4,101,development use molecules structurespecific interactions high selectivity
physics,"""for their important break-through in the discovery of superconductivity in ceramic materials""",0,94,important breakthrough discovery superconductivity ceramic materials
medicine,"""for his discovery of the genetic principle for generation of antibody diversity""",1,81,discovery genetic principle generation antibody diversity
economics,"""for his contributions to the theory of economic growth""",5,56,contributions theory economic growth
peace,"""for his work for lasting peace in Central America""",2,51,work lasting peace Central America
chemistry,"""for their development and use of molecules with structure-specific interactions of high selectivity""",4,101,development use molecules structurespecific interactions high selectivity
peace,"""for preventing armed clashes and creating conditions for negotiations""",2,71,preventing armed clashes creating conditions negotiations
physics,"""for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino""",0,135,neutrino beam method demonstration doublet structure leptons discovery muon neutrino
physics,"""for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino""",0,135,neutrino beam method demonstration doublet structure leptons discovery muon neutrino
physics,"""for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino""",0,135,neutrino beam method demonstration doublet structure leptons discovery muon neutrino
medicine,"""for their discoveries of important principles for drug treatment""",1,66,discoveries important principles drug treatment
chemistry,"""for the determination of the three-dimensional structure of a photosynthetic reaction centre""",4,94,determination threedimensional structure photosynthetic reaction centre
chemistry,"""for the determination of the three-dimensional structure of a photosynthetic reaction centre""",4,94,determination threedimensional structure photosynthetic reaction centre
chemistry,"""for the determination of the three-dimensional structure of a photosynthetic reaction centre""",4,94,determination threedimensional structure photosynthetic reaction centre
literature,"""who through works rich in nuance - now clear-sightedly realistic now evocatively ambiguous - has formed an Arabian narrative art that applies to all mankind""",3,158,works rich nuance clearsightedly realistic evocatively ambiguous formed Arabian narrative art applies mankind
medicine,"""for their discoveries of important principles for drug treatment""",1,66,discoveries important principles drug treatment
medicine,"""for their discoveries of important principles for drug treatment""",1,66,discoveries important principles drug treatment
economics,"""for his pioneering contributions to the theory of markets and efficient utilization of resources""",5,98,pioneering contributions theory markets efficient utilization resources
chemistry,"""for their discovery of catalytic properties of RNA""",4,52,discovery catalytic properties RNA
chemistry,"""for their discovery of catalytic properties of RNA""",4,52,discovery catalytic properties RNA
physics,"""for the development of the ion trap technique""",0,47,development ion trap technique
physics,"""for the invention of the separated oscillatory fields method and its use in the hydrogen maser and other atomic clocks""",0,120,invention separated oscillatory fields method use hydrogen maser atomic clocks
medicine,"""for their discovery of the cellular origin of retroviral oncogenes""",1,68,discovery cellular origin retroviral oncogenes
physics,"""for the development of the ion trap technique""",0,47,development ion trap technique
economics,"""for his clarification of the probability theory foundations of econometrics and his analyses of simultaneous economic structures""",5,130,clarification probability theory foundations econometrics analyses simultaneous economic structures
literature,"""for a rich and intensive prose which with restrained compassion forms a challenging vision of man's vulnerability""",3,115,rich intensive prose restrained compassion forms challenging vision mans vulnerability
peace,"""for advocating peaceful solutions based upon tolerance and mutual respect in order to preserve the historical and cultural heritage of his people""",2,147,advocating peaceful solutions based upon tolerance mutual respect order preserve historical cultural heritage people
medicine,"""for their discovery of the cellular origin of retroviral oncogenes""",1,68,discovery cellular origin retroviral oncogenes
literature,"""for impassioned writing with wide horizons characterized by sensuous intelligence and humanistic integrity""",3,108,impassioned writing wide horizons characterized sensuous intelligence humanistic integrity
physics,"""for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons which have been of essential importance for the development of the quark model in particle physics""",0,216,pioneering investigations concerning deep inelastic scattering electrons protons bound neutrons essential importance development quark model particle physics
physics,"""for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons which have been of essential importance for the development of the quark model in particle physics""",0,216,pioneering investigations concerning deep inelastic scattering electrons protons bound neutrons essential importance development quark model particle physics
physics,"""for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons which have been of essential importance for the development of the quark model in particle physics""",0,216,pioneering investigations concerning deep inelastic scattering electrons protons bound neutrons essential importance development quark model particle physics
economics,"""for their pioneering work in the theory of financial economics""",5,64,pioneering work theory financial economics
economics,"""for their pioneering work in the theory of financial economics""",5,64,pioneering work theory financial economics
medicine,"""for their discoveries concerning organ and cell transplantation in the treatment of human disease""",1,99,discoveries concerning organ cell transplantation treatment human disease
peace,"""for the leading role he played in the radical changes in East-West relations""",2,78,leading role played radical changes EastWest relations
medicine,"""for their discoveries concerning organ and cell transplantation in the treatment of human disease""",1,99,discoveries concerning organ cell transplantation treatment human disease
economics,"""for their pioneering work in the theory of financial economics""",5,64,pioneering work theory financial economics
chemistry,"""for his development of the theory and methodology of organic synthesis""",4,72,development theory methodology organic synthesis
economics,"""for his discovery and clarification of the significance of transaction costs and property rights for the institutional structure and functioning of the economy""",5,161,discovery clarification significance transaction costs property rights institutional structure functioning economy
literature,"""who through her magnificent epic writing has - in the words of Alfred Nobel - been of very great benefit to humanity""",3,118,magnificent epic writing words Alfred Nobel great benefit humanity
medicine,"""for their discoveries concerning the function of single ion channels in cells""",1,79,discoveries concerning function single ion channels cells
physics,"""for discovering that methods developed for studying order phenomena in simple systems can be generalized to more complex forms of matter in particular to liquid crystals and polymers""",0,184,discovering methods developed studying order phenomena simple systems generalized complex forms matter particular liquid crystals polymers
peace,"""for her non-violent struggle for democracy and human rights""",2,61,nonviolent struggle democracy human rights
medicine,"""for their discoveries concerning the function of single ion channels in cells""",1,79,discoveries concerning function single ion channels cells
chemistry,"""for his contributions to the development of the methodology of high resolution nuclear magnetic resonance (NMR) spectroscopy""",4,126,contributions development methodology high resolution nuclear magnetic resonance NMR spectroscopy
literature,"""for a poetic oeuvre of great luminosity sustained by a historical vision the outcome of a multicultural commitment""",3,116,poetic oeuvre great luminosity sustained historical vision outcome multicultural commitment
medicine,"""for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism""",1,106,discoveries concerning reversible protein phosphorylation biological regulatory mechanism
chemistry,"""for his contributions to the theory of electron transfer reactions in chemical systems""",4,88,contributions theory electron transfer reactions chemical systems
economics,"""for having extended the domain of microeconomic analysis to a wide range of human behaviour and interaction including nonmarket behaviour""",5,139,extended domain microeconomic analysis wide range human behaviour interaction including nonmarket behaviour
peace,"""for her struggle for social justice and ethno-cultural reconciliation based on respect for the rights of indigenous peoples""",2,125,struggle social justice ethnocultural reconciliation based respect rights indigenous peoples
physics,"""for his invention and development of particle detectors in particular the multiwire proportional chamber""",0,106,invention development particle detectors particular multiwire proportional chamber
medicine,"""for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism""",1,106,discoveries concerning reversible protein phosphorylation biological regulatory mechanism
physics,"""for the discovery of a new type of pulsar a discovery that has opened up new possibilities for the study of gravitation""",0,121,discovery new type pulsar discovery opened new possibilities study gravitation
physics,"""for the discovery of a new type of pulsar a discovery that has opened up new possibilities for the study of gravitation""",0,121,discovery new type pulsar discovery opened new possibilities study gravitation
literature,"""who in novels characterized by visionary force and poetic import gives life to an essential aspect of American reality""",3,120,novels characterized visionary force poetic import gives life essential aspect American reality
economics,"""for having renewed research in economic history by applying economic theory and quantitative methods in order to explain economic and institutional change""",5,156,renewed research economic history applying economic theory quantitative methods order explain economic institutional change
chemistry,"""for his fundamental contributions to the establishment of oligonucleotide-based site-directed mutagenesis and its development for protein studies""",4,147,fundamental contributions establishment oligonucleotidebased sitedirected mutagenesis development protein studies
medicine,"""for their discoveries of split genes""",1,38,discoveries split genes
medicine,"""for their discoveries of split genes""",1,38,discoveries split genes
chemistry,"""for his invention of the polymerase chain reaction (PCR) method""",4,65,invention polymerase chain reaction PCR method
peace,"""for their work for the peaceful termination of the apartheid regime and for laying the foundations for a new democratic South Africa""",2,134,work peaceful termination apartheid regime laying foundations new democratic South Africa
economics,"""for having renewed research in economic history by applying economic theory and quantitative methods in order to explain economic and institutional change""",5,156,renewed research economic history applying economic theory quantitative methods order explain economic institutional change
peace,"""for their work for the peaceful termination of the apartheid regime and for laying the foundations for a new democratic South Africa""",2,134,work peaceful termination apartheid regime laying foundations new democratic South Africa
medicine,"""for their discovery of G-proteins and the role of these proteins in signal transduction in cells""",1,98,discovery Gproteins role proteins signal transduction cells
medicine,"""for their discovery of G-proteins and the role of these proteins in signal transduction in cells""",1,98,discovery Gproteins role proteins signal transduction cells
chemistry,"""for his contribution to carbocation chemistry""",4,47,contribution carbocation chemistry
physics,"""for the development of neutron spectroscopy""",0,45,development neutron spectroscopy
physics,"""for the development of the neutron diffraction technique""",0,58,development neutron diffraction technique
literature,"""who with poetic force creates an imagined world where life and myth condense to form a disconcerting picture of the human predicament today""",3,141,poetic force creates imagined world life myth condense form disconcerting picture human predicament today
peace,"""for their efforts to create peace in the Middle East""",2,54,efforts create peace Middle East
peace,"""for their efforts to create peace in the Middle East""",2,54,efforts create peace Middle East
peace,"""for their efforts to create peace in the Middle East""",2,54,efforts create peace Middle East
economics,"""for their pioneering analysis of equilibria in the theory of non-cooperative games""",5,84,pioneering analysis equilibria theory noncooperative games
economics,"""for their pioneering analysis of equilibria in the theory of non-cooperative games""",5,84,pioneering analysis equilibria theory noncooperative games
economics,"""for their pioneering analysis of equilibria in the theory of non-cooperative games""",5,84,pioneering analysis equilibria theory noncooperative games
physics,"""for the detection of the neutrino""",0,35,detection neutrino
medicine,"""for their discoveries concerning the genetic control of early embryonic development""",1,85,discoveries concerning genetic control early embryonic development
chemistry,"""for their work in atmospheric chemistry particularly concerning the formation and decomposition of ozone""",4,106,work atmospheric chemistry particularly concerning formation decomposition ozone
chemistry,"""for their work in atmospheric chemistry particularly concerning the formation and decomposition of ozone""",4,106,work atmospheric chemistry particularly concerning formation decomposition ozone
economics,"""for having developed and applied the hypothesis of rational expectations and thereby having transformed macroeconomic analysis and deepened our understanding of economic policy""",5,178,developed applied hypothesis rational expectations thereby transformed macroeconomic analysis deepened understanding economic policy
literature,"""for works of lyrical beauty and ethical depth which exalt everyday miracles and the living past""",3,97,works lyrical beauty ethical depth exalt everyday miracles living past
chemistry,"""for their work in atmospheric chemistry particularly concerning the formation and decomposition of ozone""",4,106,work atmospheric chemistry particularly concerning formation decomposition ozone
medicine,"""for their discoveries concerning the genetic control of early embryonic development""",1,85,discoveries concerning genetic control early embryonic development
peace,"""for their efforts to diminish the part played by nuclear arms in international politics and in the longer run to eliminate such arms""",2,134,efforts diminish part played nuclear arms international politics longer run eliminate arms
peace,"""for their efforts to diminish the part played by nuclear arms in international politics and in the longer run to eliminate such arms""",2,134,efforts diminish part played nuclear arms international politics longer run eliminate arms
physics,"""for the discovery of the tau lepton""",0,37,discovery tau lepton
medicine,"""for their discoveries concerning the genetic control of early embryonic development""",1,85,discoveries concerning genetic control early embryonic development
physics,"""for their discovery of superfluidity in helium-3""",0,50,discovery superfluidity helium3
physics,"""for their discovery of superfluidity in helium-3""",0,50,discovery superfluidity helium3
physics,"""for their discovery of superfluidity in helium-3""",0,50,discovery superfluidity helium3
medicine,"""for their discoveries concerning the specificity of the cell mediated immune defence""",1,86,discoveries concerning specificity cell mediated immune defence
medicine,"""for their discoveries concerning the specificity of the cell mediated immune defence""",1,86,discoveries concerning specificity cell mediated immune defence
chemistry,"""for their discovery of fullerenes""",4,35,discovery fullerenes
literature,"""for poetry that with ironic precision allows the historical and biological context to come to light in fragments of human reality""",3,131,poetry ironic precision allows historical biological context come light fragments human reality
peace,"""for their work towards a just and peaceful solution to the conflict in East Timor""",2,83,work towards peaceful solution conflict East Timor
peace,"""for their work towards a just and peaceful solution to the conflict in East Timor""",2,83,work towards peaceful solution conflict East Timor
chemistry,"""for their discovery of fullerenes""",4,35,discovery fullerenes
economics,"""for their fundamental contributions to the economic theory of incentives under asymmetric information""",5,103,fundamental contributions economic theory incentives asymmetric information
chemistry,"""for their discovery of fullerenes""",4,35,discovery fullerenes
economics,"""for their fundamental contributions to the economic theory of incentives under asymmetric information""",5,103,fundamental contributions economic theory incentives asymmetric information
literature,"""who emulates the jesters of the Middle Ages in scourging authority and upholding the dignity of the downtrodden""",3,113,emulates jesters Middle Ages scourging authority upholding dignity downtrodden
chemistry,"""for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP)""",4,107,elucidation enzymatic mechanism underlying synthesis adenosine triphosphate ATP
chemistry,"""for the first discovery of an ion-transporting enzyme Na+ K+ -ATPase""",4,70,first discovery iontransporting enzyme Na K ATPase
economics,"""for a new method to determine the value of derivatives""",5,56,new method determine value derivatives
medicine,"""for his discovery of Prions - a new biological principle of infection""",1,71,discovery Prions new biological principle infection
physics,"""for development of methods to cool and trap atoms with laser light""",0,68,development methods cool trap atoms laser light
economics,"""for a new method to determine the value of derivatives""",5,56,new method determine value derivatives
physics,"""for development of methods to cool and trap atoms with laser light""",0,68,development methods cool trap atoms laser light
physics,"""for development of methods to cool and trap atoms with laser light""",0,68,development methods cool trap atoms laser light
peace,"""for their work for the banning and clearing of anti-personnel mines""",2,69,work banning clearing antipersonnel mines
peace,"""for their work for the banning and clearing of anti-personnel mines""",2,69,work banning clearing antipersonnel mines
chemistry,"""for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP)""",4,107,elucidation enzymatic mechanism underlying synthesis adenosine triphosphate ATP
economics,"""for his contributions to welfare economics""",5,44,contributions welfare economics
physics,"""for their discovery of a new form of quantum fluid with fractionally charged excitations""",0,90,discovery new form quantum fluid fractionally charged excitations
literature,"""who with parables sustained by imagination compassion and irony continually enables us once again to apprehend an elusory reality""",3,131,parables sustained imagination compassion irony continually enables us apprehend elusory reality
physics,"""for their discovery of a new form of quantum fluid with fractionally charged excitations""",0,90,discovery new form quantum fluid fractionally charged excitations
chemistry,"""for his development of the density-functional theory""",4,54,development densityfunctional theory
medicine,"""for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system""",1,101,discoveries concerning nitric oxide signalling molecule cardiovascular system
medicine,"""for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system""",1,101,discoveries concerning nitric oxide signalling molecule cardiovascular system
medicine,"""for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system""",1,101,discoveries concerning nitric oxide signalling molecule cardiovascular system
chemistry,"""for his development of computational methods in quantum chemistry""",4,67,development computational methods quantum chemistry
peace,"""for their efforts to find a peaceful solution to the conflict in Northern Ireland""",2,83,efforts find peaceful solution conflict Northern Ireland
peace,"""for their efforts to find a peaceful solution to the conflict in Northern Ireland""",2,83,efforts find peaceful solution conflict Northern Ireland
physics,"""for their discovery of a new form of quantum fluid with fractionally charged excitations""",0,90,discovery new form quantum fluid fractionally charged excitations
literature,"""whose frolicsome black fables portray the forgotten face of history""",3,69,whose frolicsome black fables portray forgotten face history
chemistry,"""for his studies of the transition states of chemical reactions using femtosecond spectroscopy""",4,95,studies transition states chemical reactions using femtosecond spectroscopy
peace,"""in recognition of the organisation's pioneering humanitarian work on several continents""",2,89,recognition organisations pioneering humanitarian work several continents
